"","batch_number","extraction_number","sample_number","Extraction_repeated","Tech_rep_lost","species_field","species_confirmed","Latitude","Longitude","Elevation_GPS_notebook","Elevation_map","family","leaf_age","biological_rep","GoPro.file","site","site_revised","date","whole_leaf_FW","tech_rep_1_FW","tech_rep_2_FW","tech_rep_3_FW","tech_rep_4_FW_fixed","tech_rep_4_DW_fixed","whole_leaf_area.cm2.","freshSLA","tech_rep_1_leaf_area","tech_rep_2_leaf_area","tech_rep_3_leaf_area","tech_rep_4_leaf_area","technical_rep_used_for_ovalbumin_calculation","ovalbumin_added.5uL_of_0.5mg.mL_per_cm2.","random_number","notes.1","notes.2","I.don.t.know.why.these.numbers.are.here","Solvent.Wash.Date","Solvent.Wash.Page.Ref","Phenol.Extraction.Date","Phenol.Extraction.Page.Ref","Resuspension.and.Alkylation.Date","Resuspension.and.Alkylation.Page.Ref","Lavapep.Date","Lavapep.Page.Ref","Lavapep.File.Name","Extraction.Notes","Protein.Extract.Concentration..protein.assay..ug.uL.","Protein.Assay..CV","Protein.Extract.Volume..uL.","Extract.Protein.Amount..ug..protein.assay.","Protein.per.FW..mg.g..protein.assay.","Protein.per.DW..mg.g..protein.assay.","Protein.per.Leaf.Area..mg.cm2..protein.assay.","X.Ovalbumin.of.Total.Protein","Digest.Protein.Amount..ug..","Amount.Protease.in.Digest..ug.","uL.Protein.Extract.per.Digest","Date.of.ASPEX","ASPEX.Batch","tech_rep_4_FW_ERROR","tech_rep_4_DW_ERROR","LMA..g.m2.","SLA..cm2.g.","LWC....","leaf_FW_check","LWC","LMA"
"718",18,"18-20","YG097",0,NA,"acaimp","acaimp",-32.7817,150.9291,NA,NA,"Fabaceae","mid",2,"98","Yengo_N","NSW_Yengo_N",140526,1.3889,"0.09632","0.11180","0.08670","1.06320","0.53748",32.357,23.29685363,2.243952941,2.604588235,2.019837209,24.76921477,3,10.1,0.448846678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,7.766918698,750,3907.525716,NA,NA,NA,NA,50,1,9.6,NA,NA,"1.06320","0.66096","216.9951712","46.0839748","49.4469526",0.03088,49.4469526,216.9951712
"731",31,"31-28","KG130",0,NA,"xylpyr","xylpyr",-33.67856,151.14825,NA,NA,"Proteaceae","mid",3,"83","Kuringai_MT_bottom","NSW_Kuringai_bottom",140617,1.6623,"0.07516","0.06980","0.07246","1.39500","0.70306",36.544,21.98399807,1.652317295,1.534483066,1.592960501,30.66767731,2,7.7,0.982329682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.39500","0.70306","229.2511405","43.62028463","49.60143369",0.04988,49.60143369,229.2511405
"742",8,"DP065","KG024",0,NA,"euchae","euchae",-33.6933,151.14541,NA,NA,"Myrtaceae","new",1,"47","Kuringai_MT_top","NSW_Kuringai_top",140603,1.71928,"0.09646","0.08172","0.07158","1.44884","0.72856",26.137,15.20229398,1.466413278,1.242331464,1.088180203,22.02569162,2,6.2,0.212679195,NA,NA,NA,"29/09/2015","Siobhan 1, p.96","30/09/2015","Siobhan 1, p.97","13/10/2015","Siobhan 1, p.103","16/11/2015","Katy 1, p.106",NA,NA,3.3,4.252247646,750,2476.223435,30.30131467,NA,1.993206729,NA,50,1,15.1,"16/05/2016","1","1.44884","0.72856","330.7773543","30.23181566","49.71425416",0.02068,49.71425416,330.7773543
"747",16,"16-08","T386",0,NA,"acalon","acalon",-42.84732,147.43592,NA,NA,"Fabaceae","old",1,"296","Tasmania_MC","TAS_Mt_Canopus",150312,1.22228,"0.05496","0.07020","0.05686","1.01112","0.50710",26.858,21.97368852,1.207673921,1.542552934,1.249423929,22.21803593,1,6,0.021084317,NA,"Top of sky pic is East instead of North.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,2.605594789,750,2446.019767,NA,NA,NA,NA,50,1,15.3,NA,NA,"1.01112","0.4001","228.2379962","43.81391428","49.84769365",0.02914,49.84769365,228.2379962
"781",21,"21-29","T140",0,NA,"acamuc","acamuc",-42.75833,146.40609,NA,NA,"Fabaceae","mid",2,"220","Tasmania_FR","TAS_Frodshams_Pass",150306,0.5281,"0.06238","0.07634","0.07056","0.24776","0.12266",8.893,16.83961371,1.050455103,1.285536111,1.188203143,4.172182693,1,5.3,0.966930279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4.093909378,750,2104.340465,NA,NA,NA,NA,50,1,17.8,NA,NA,"0.24776","0.12902","293.9947961","34.01420751","50.49241201",0.07106,50.49241201,293.9947961
"793",27,"27-41","T214",0,NA,"perjun","perjun",-42.38635,147.05113,NA,NA,"Proteaceae","mid",3,"288","Tasmania_BO","TAS_Bothwell",150309,0.47462,"0.08064","0.08608","0.08580","0.19108","0.09418",11.99,25.26231512,2.037153091,2.174580085,2.167506637,4.827123172,1,10.2,0.578101509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.19108","0.14316","195.1058563","51.25422778","50.71174377",0.03102,50.71174377,195.1058563
"795",19,"19-39","T298",0,NA,"acater","acater",-42.12261,148.34306,NA,NA,"Fabaceae","new",1,"261","Tasmania_FY","TAS_Freycinet",150311,0.90088,"0.08402","0.09782","0.08454","0.56370","0.27760",32.193,35.73505905,3.002459662,3.495603477,3.021041892,20.14385279,1,15,0.654935476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,2.179125879,750,3993.716847,NA,NA,NA,NA,50,1,9.4,NA,NA,"0.56370","0.08672","137.8087911","72.5643112","50.75394714",0.0708,50.75394714,137.8087911
"807",28,"28-31","T034",0,NA,"oriaci","oriaci",-42.89581,147.23627,1249,1264,"Proteaceae","mid",3,"none","Tasmania_MW","TAS_Mt_Wellington",150302,0.4354,"0.07286","0.06178","0.08194","0.18642","0.09144",5.611,12.88700046,0.938946853,0.796158888,1.055960818,2.402394626,1,4.7,0.67839965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.18642","0.08264","380.6202321","26.2729071","50.94946894",0.0324,50.94946894,380.6202321
"842",31,"31-35","KG129",0,NA,"xylpyr","xylpyr",-33.67856,151.14825,NA,NA,"Proteaceae","old",3,"83","Kuringai_MT_bottom","NSW_Kuringai_bottom",140617,0.71548,"0.06846","0.07270","0.06068","0.49332","0.23938",18.747,26.20199027,1.793788254,1.904884693,1.58993677,12.92596584,2,9.5,0.990788345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.49332","0.23938","185.1931244","53.99768502","51.47571556",0.02032,51.47571556,185.1931244
"911",13,"13-13","T051",0,NA,"eucdel","eucdel",-42.91482,147.24619,727,732,"Myrtaceae","old",1,"206","Tasmania_MW","TAS_The_Springs",150302,1.4446,"0.08488","0.06206","0.07364","1.10654","0.52426",24.691,17.09192856,1.450762896,1.060725087,1.258649619,18.91290263,1,7.3,0.895772722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.989164978,750,4506.149928,NA,NA,NA,NA,50,1,8.3,"31/05/2016","14","1.10654","0.74126","277.1970068","36.07542561","52.62168561",0.11748,52.62168561,277.1970068
"920",17,"17-36","YG096",0,NA,"acaimp","acaimp",-32.7817,150.9291,NA,NA,"Fabaceae","old",2,"98","Yengo_N","NSW_Yengo_N",140526,1.6364,"0.08084","0.05988","0.06126","1.39852","0.66096",43.568,26.62429724,2.152308189,1.594262919,1.631004449,37.23461217,3,8.2,0.333021421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.039099915,750,2218.005251,NA,NA,NA,NA,50,1,16.9,NA,NA,"1.39852","0.28442","177.5122558","56.33413849","52.73860939",0.0359,52.73860939,177.5122558
"952",21,"21-31","QL193",0,NA,"acacra","acacra",-17.92285,146.06817,NA,NA,"Fabaceae","old",2,"373","Tully_Spidersite_QLD","QLD_Mission_Beach",150812,1.3039,"0.07784","0.07732","0.05878","1.05362","0.48988",30.56,23.43738017,1.824365672,1.812178235,1.377649206,24.69409249,1,9.1,0.988290349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,5.673106888,750,3232.65321,NA,NA,NA,NA,50,1,11.6,NA,NA,"1.05362","0.48988","198.3794303","50.40845205","53.50505875",0.03634,53.50505875,198.3794303
"958",13,"13-19","T059",0,NA,"eucdel","eucdel",-42.91482,147.24619,727,732,"Myrtaceae","old",3,"209","Tasmania_MW","TAS_The_Springs",150302,1.10888,"0.08246","0.05552","0.06268","0.86534","0.40216",20.134,18.15705938,1.497231116,1.008079937,1.138084482,15.71202976,1,7.5,0.919430084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.235461057,750,2725.936424,NA,NA,NA,NA,50,1,13.8,"31/05/2016","13","0.86534","0.33968","255.9567453","39.06910125","53.52578177",0.04288,53.52578177,255.9567453
"965",17,"17-22","QL192",0,NA,"acacra","acacra",-17.92285,146.06817,NA,NA,"Fabaceae","mid",2,"373","Tully_Spidersite_QLD","QLD_Mission_Beach",150812,1.59888,"0.06768","0.08606","0.07538","1.34246","0.62278",32.31,20.20789553,1.367670369,1.739091489,1.523271165,27.12829143,1,6.8,0.264517305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.923687048,750,1631.787185,NA,NA,NA,NA,50,1,23,NA,NA,"1.34246","0.62278","229.5684568","43.55999138","53.60904608",0.0273,53.60904608,229.5684568
"1019",13,"13-05","QL130",0,NA,"eucpla","eucpla",-18.43758,146.13636,NA,NA,"Myrtaceae","new",1,"353","S_Cardwell_QLD","QLD_Cardwell_S",150809,6.39762,"0.07892","0.07036","0.08424","6.14226","2.78596",115.206,18.00763409,1.421162482,1.267017134,1.516963096,110.6075706,1,7.1,0.880750199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6.34656122,750,3346.1018,NA,NA,NA,NA,50,1,11.2,"31/05/2016","13","6.14226","2.78596","251.8778765","39.70177984","54.64275364",0.02184,54.64275364,251.8778765
"1122",31,"31-10","QL343",0,NA,"gremim","gremim",-18.16105,142.21069,NA,NA,"Proteaceae","new",1,"431","Croydon_QLD","QLD_Croydon",150822,3.9876,"0.09276","0.07118","0.09514","3.70196","1.56970",54.064,13.55802989,1.257642853,0.965060568,1.289910964,50.19128434,1,6.3,0.948818052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.70196","1.5697","312.7435412","31.97508081","57.5981372",0.02656,57.5981372,312.7435412
"1126",30,"30-11","T202",0,NA,"cennit","cennit",-42.75833,146.40609,NA,NA,"Proteaceae","mid",3,"242","Tasmania_FR","TAS_Frodshams_Pass",150307,1.14984,"0.07856","0.07138","0.06734","0.90732","0.38388",24.896,21.65170806,1.700958185,1.545498922,1.458026021,19.64502776,1,8.5,0.846170693,"Steve's abbreviation - caenit in licor","Steve's abbreviation - caenit in licor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.90732","0.16894","195.4082248","51.17491862","57.69078164",0.02524,57.69078164,195.4082248
"1162",19,"19-20","QL266",0,NA,"acahol","acahol",-18.31625,145.46642,NA,NA,"Fabaceae","old",3,"406","Princess_Hill_QLD","QLD_Princess_Hill",150818,3.35218,"0.07362","0.09438","0.06214","3.09380","1.28188",79.032,23.5762996,1.735687177,2.225131156,1.465031257,72.94035571,1,8.7,0.574315866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,4.419869878,750,2931.065428,NA,NA,NA,NA,50,1,12.8,NA,NA,"3.09380","1.28188","175.7435904","56.90107944","58.56616459",0.02824,58.56616459,175.7435904
"1164",19,"19-26","YG152",0,NA,"acaimp","acaimp",-32.7817,150.9291,NA,NA,"Fabaceae","old",5,"96","Yengo_N","NSW_Yengo_N",140609,1.2107,"0.07274","0.06762","0.05954","0.98354","0.40734",35.75,29.52837202,2.14789378,1.996708516,1.75811927,29.04233501,3,8.8,0.596063367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,6.282403355,750,3804.02229,NA,NA,NA,NA,50,1,9.9,NA,NA,"0.98354","0.21028","140.2573174","71.2975279","58.58429754",0.02726,58.58429754,140.2573174
"1166",8,"DP070","T054",0,NA,"eucdel","eucdel",-42.91482,147.24619,727,732,"Myrtaceae","mid",2,"208","Tasmania_MW","TAS_The_Springs",150302,1.57046,"0.05408","0.05452","0.05908","1.28800","0.53314",27.829,17.72028578,0.958313055,0.966109981,1.046914484,22.82372808,1,4.8,0.242292111,NA,NA,NA,"29/09/2015","Siobhan 1, p.96","30/09/2015","Siobhan 1, p.97","13/10/2015","Siobhan 1, p.103","16/11/2015","Katy 1, p.106",NA,NA,2.6,6.568259328,750,1947.866114,36.01823436,NA,2.032598956,NA,50,1,19.3,"16/05/2016","1","1.28800","0.33904","233.5902347","42.81000878","58.60714286",0.11478,58.60714286,233.5902347
"1172",16,"16-14","YG094",0,NA,"acafal","acafal",-32.7817,150.9291,NA,NA,"Fabaceae","new",1,"104","Yengo_N","NSW_Yengo_N",140525,1.0864,"0.08204","0.08752","0.07370","0.82256","0.33992",36.595,33.68464654,2.763488402,2.948080265,2.48255845,27.70764286,3,12.4,0.055548419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3.650316983,750,2175.209445,NA,NA,NA,NA,50,1,17.2,NA,NA,"0.82256","0.15232","122.6809519","81.51224658","58.67535499",0.02058,58.67535499,122.6809519
"1174",17,"17-43","QL262",0,NA,"acahol","acahol",-18.31625,145.46642,NA,NA,"Fabaceae","old",2,"405","Princess_Hill_QLD","QLD_Princess_Hill",150818,3.31502,"0.09110","0.08082","0.09668","3.01986","1.24382",75.266,22.70453874,2.068383479,1.834980821,2.195074805,68.56452835,1,10.3,0.35375574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.110367618,750,3725.671301,NA,NA,NA,NA,50,1,10.1,NA,NA,"3.01986","1.24382","181.4086715","55.12415651","58.81199791",0.02656,58.81199791,181.4086715
"1205",11,"11-03","YG076",0,NA,"eucpun","eucpun",-32.78244,150.92318,NA,NA,"Myrtaceae","new",2,"116","Yengo_N","NSW_Yengo_N",140525,0.9053,"0.11596","0.09114","0.11438","0.56294","0.22364",22.084,24.39412349,2.82874256,2.223280415,2.790199845,13.73242788,2,11.1,0.568465095,NA,NA,NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,5.6,9.221460947,750,4230.401643,46.41652012,NA,1.902774663,NA,50,1,8.9,"17/05/2016","7","0.56294","0.29028","162.8553974","61.40416688","60.27285323",0.02088,60.27285323,162.8553974
"1215",25,"25-16","QL024",0,NA,"darfer","darfer",-17.36688,145.75258,NA,NA,"Proteaceae","old",1,"333","Bartlefrer_QLD","QLD_Bartlefrere",150806,2.15408,"0.08836","0.08004","0.06326","1.89858","0.74878",80.629,37.43082894,3.307388045,2.995963548,2.367874239,71.06542321,1,16.5,0.317634331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.89858","0.74878","105.364883","94.90828175","60.56105089",0.02384,60.56105089,105.364883
"1221",18,"18-21","QL264",0,NA,"acahol","acahol",-18.31625,145.46642,NA,NA,"Fabaceae","new",3,"406","Princess_Hill_QLD","QLD_Princess_Hill",150818,3.48006,"0.08572","0.07948","0.08028","3.21200","1.25796",68.0324,19.54920317,1.675757696,1.553770668,1.569410031,62.7920406,1,8.4,0.449646054,"Wasn't scanned before the three samples were taken, tissue for dw sample was scanned so fw/leaf area can be calculated from that: tech rep 4 la/fw=62.792/3.212=19.5492cm2/g of fw. Whole leaf area = whole leaf fw*19.5492 = 3.48006*19.5492 = 68.0324","Wasn't scanned before the three samples were taken, tissue for dw sample was scanned so fw/leaf area can be calculated from that: tech rep 4 la/fw=62.792/3.212=19.5492cm2/g of fw. Whole leaf area = whole leaf fw*19.5492 = 3.48006*19.5492 = 68.0324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.88066184,750,3788.699713,NA,NA,NA,NA,50,1,9.9,NA,NA,"3.21200","1.25796","200.3374931","49.91576886","60.83561644",0.02258,60.83561644,200.3374931
"1223",18,"18-23","YG153",0,NA,"acaimp","acaimp",-32.7817,150.9291,NA,NA,"Fabaceae","mid",5,"96","Yengo_N","NSW_Yengo_N",140609,1.30682,"0.09048","0.07980","0.08166","1.01606","0.39706",33.268,25.45721676,2.303368972,2.031485897,2.07883632,25.86605966,3,10.4,0.453958885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,2.33529683,750,4872.444242,NA,NA,NA,NA,50,1,7.7,NA,NA,"1.01606","0.40734","153.5061796","65.14395723","60.92159912",0.03882,60.92159912,153.5061796
"1231",30,"30-46","QL007",0,NA,"athdiv","athdiv",-17.37878,145.7617,NA,NA,"Proteaceae","old",2,"340","Bartlefrer_QLD","QLD_Bartlefrere",150805,2.97818,"0.08530","0.07808","0.07668","2.71746","1.05254",73.665,24.73490521,2.109887414,1.931301399,1.896672532,67.21611551,1,10.5,0.907652893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.71746","1.05254","156.5904236","63.86086563","61.26750716",0.02066,61.26750716,156.5904236
"1258",21,"21-06","QL256",0,NA,"acahol","acahol",-18.32728,145.45414,NA,NA,"Fabaceae","new",1,"404","Princess_Hill_QLD","QLD_Princess_Hill",150818,3.58846,"0.08486","0.09720","0.07830","3.30150","1.24298",74.395,20.7317345,1.75929499,2.015124594,1.623294812,68.44582147,1,8.8,0.886827469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.986637361,750,3339.659308,NA,NA,NA,NA,50,1,11.2,NA,NA,"3.30150","1.24298","181.6005672","55.06590731","62.35105255",0.0266,62.35105255,181.6005672
"1285",17,"17-03","T389",0,NA,"acalon","acalon",-42.84732,147.43592,NA,NA,"Fabaceae","new",2,"297","Tasmania_MC","TAS_Mt_Canopus",150312,0.74246,"0.07990","0.06020","0.08108","0.48800","0.17540",16.188,21.80319478,1.742075263,1.312552326,1.767803033,10.63995906,1,8.7,0.192330699,NA,"Top of sky pic is East instead of North.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,6.40099794,750,2688.009984,NA,NA,NA,NA,50,1,14,NA,NA,"0.48800",NA,"164.8502584","60.66111206","64.05737705",0.03328,64.05737705,164.8502584
"1287",20,"20-23","QL258",0,NA,"acahol","acahol",-18.32728,145.45414,NA,NA,"Fabaceae","old",1,"404","Princess_Hill_QLD","QLD_Princess_Hill",150818,3.89606,"0.09556","0.07568","0.08130","3.61524","1.29542",93.377,23.96703336,2.290289708,1.813825085,1.948519812,86.64657769,1,11.5,0.782290636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,2.802989129,750,3142.324654,NA,NA,NA,NA,50,1,11.9,NA,NA,"3.61524","1.29542","149.5061934","66.88686117","64.16780075",0.02828,64.16780075,149.5061934
"1303",17,"17-34","QL071",0,NA,"acaman","acaman",-17.96665,145.96806,NA,NA,"Fabaceae","mid",1,"349","Mt_Makay_QLD","QLD_Mt_Mackay",150808,3.57514,"0.08796","0.09024","0.06208","3.31348","1.14368",90.653,25.35648954,2.23035682,2.288169616,1.57413087,84.01822095,1,11.2,0.325774437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3.714079405,750,3608.521525,NA,NA,NA,NA,50,1,10.4,NA,NA,"3.31348","1.14368","136.1228537","73.46304993","65.48402284",0.02138,65.48402284,136.1228537
"1308",19,"19-42","QL070",0,NA,"acaman","acaman",-17.96665,145.96806,NA,NA,"Fabaceae","new",1,"349","Mt_Makay_QLD","QLD_Mt_Mackay",150808,3.6119,"0.06196","0.07476","0.10094","3.35158","1.13226",92.511,25.61283535,1.586971278,1.914815571,2.5853596,85.8434667,1,7.9,0.666055672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.822215919,750,2650.808613,NA,NA,NA,NA,50,1,14.1,NA,NA,"3.35158","1.13226","131.8982147","75.81603757","66.21712744",0.02266,66.21712744,131.8982147
"1311",11,"11-41","YG020",0,NA,"eucfib","euccre",-32.78244,150.92318,NA,NA,"Myrtaceae","new",1,"127","Yengo_N","NSW_Yengo_N",140419,1.89,"0.07000","0.06900","0.05000","1.66700","0.55910",44.3,23.43915344,1.640740741,1.617301587,1.171957672,39.07306878,2,8.1,0.698592724,"eucfib is actually euc crebra","eucfib is actually euc crebra",NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,2.5,5.123415451,750,1903.009788,27.579852,NA,1.176657343,NA,50,1,19.7,"17/05/2016","6","1.66700","0.34922","143.0908852","69.88565334","66.46070786",0.034,66.46070786,143.0908852
"1320",31,"31-32","QL026",0,NA,"darfer","darfer",-17.36688,145.75258,NA,NA,"Proteaceae","new",2,"334","Bartlefrer_QLD","QLD_Bartlefrere",150806,2.1753,"0.09458","0.07334","0.08280","1.90236","0.60352",113.465,52.16062152,4.933351584,3.825459983,4.318899462,99.22827996,1,24.7,0.986183277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.90236","0.60352","60.82137071","164.4158934","68.27519502",0.02222,68.27519502,60.82137071
"1329",32,"32-03","QL030",1,1,"darfer","darfer",-17.36688,145.75258,NA,NA,"Proteaceae","new",3,"335","Bartlefrer_QLD","QLD_Bartlefrere",150806,3.85956,"0.08086","0.08248","0.07654","3.50558","1.04596",185.38,48.03138182,3.883817534,3.961628372,3.676321964,168.3778515,NA,0,0.109255589,NA,NA,NA,"9/08/2016","Katy 1, p. 190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.50558","1.04596","62.11980916","160.9792453","70.16299728",0.1141,70.16299728,62.11980916
"1340",NA,NA,"YG027",0,NA,"?????1","0",0,0,NA,NA,"Proteaceae","new",1,"0","Yengo_N","NSW_Yengo_N",140419,2.555,"0.06300","0.06800","0.05500","2.34000","0.53502",NA,NA,0,0,0,0,2,0,0.567843932,"broad-leafed mystery plant","broad-leafed mystery plant. Do not process.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.34000","0.9268",NA,"0","77.13589744",0.029,77.13589744,NA
"284",25,"25-14","YG164",0,NA,"grebux","grebux",-33.045,150.68326,NA,NA,"Proteaceae","old",1,"153","Yengo_S","NSW_Yengo_S",140619,NA,"0.08572","0.08156","0.08628","0.18404","0.10678",NA,NA,NA,2.69,NA,NA,2,13.5,0.315978083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.18404","0.05092",NA,NA,"41.98000435",-0.4376,41.98000435,NA
"305",29,"29-44","YG166",0,NA,"grebux","grebux",-33.045,150.68326,NA,NA,"Proteaceae","new",1,"153","Yengo_S","NSW_Yengo_S",140619,NA,"0.06316","0.07800","0.05742","0.08410","0.04844",NA,NA,NA,2.674,NA,NA,2,13.4,0.819471642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.08410","0.11012",NA,NA,"42.4019025",-0.28268,42.4019025,NA
"319",23,"23-11","YG165",0,NA,"grebux","grebux",-33.045,150.68326,NA,NA,"Proteaceae","mid",1,"153","Yengo_S","NSW_Yengo_S",140619,NA,"0.07486","0.07032","0.06506","0.19186","0.11012",NA,NA,NA,2.083,NA,NA,2,10.4,0.135770316,NA,NA,NA,"9/08/2016","Katy 1, p. 190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.19186","0.10678",NA,NA,"42.60398207",-0.4021,42.60398207,NA
"325",29,"29-10","YG179",0,NA,"grebux","grebux",-33.045,150.68326,NA,NA,"Proteaceae","old",2,"155","Yengo_S","NSW_Yengo_S",140620,NA,"0.07368","0.06510","0.05984","0.09008","0.05156",NA,NA,NA,1.799,NA,NA,2,9,0.738176027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.09008","0.0626",NA,NA,"42.76198934",-0.2887,42.76198934,NA
"341",NA,NA,"YG014",0,NA,"podili","podili",-32.78244,150.92318,NA,NA,"Fabaceae","mid",1,"don't use this species","Yengo_N","NSW_Yengo_N",140419,NA,"0.08700","0.07200","0.09900","0.06200","0.03520",NA,NA,NA,NA,NA,NA,2,NA,NA,"Not extracting YG001-YG057","Do not process.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.06200","0.02498",NA,NA,"43.22580645",-0.32,43.22580645,NA
"377",11,"11-18","YG030",0,NA,"melpal","melpal",-32.78244,150.92318,NA,NA,"Myrtaceae","mid",1,"don't use this species","Yengo_N","NSW_Yengo_N",140420,NA,"0.05700","0.06000","0.04700","0.04900","0.02742",NA,NA,1.719,1.84,1.315,NA,2,9.2,0.607265594,NA,"Do not process.",NA,"15/12/2015","Katy 1, p.111","5/01/2016","Katy 1, p.114","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,2.2,9.074212527,750,1680.686812,28.01144687,NA,0.913416746,NA,50,1,22.3,"17/05/2016","7","0.04900","0.02258",NA,NA,"44.04081633",-0.213,44.04081633,NA
"405",31,"31-26","YG133",0,NA,"gremuc","gremuc",-32.78244,150.92318,NA,NA,"Proteaceae","old",3,"108","Yengo_N","NSW_Yengo_N",140608,NA,"0.09488","0.07624","0.08590","0.15716","0.08730",NA,NA,NA,2.608,NA,NA,2,13,0.980745305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15716","0.05948",NA,NA,"44.45151438",-0.41418,44.45151438,NA
"420",31,"31-17","YG195",0,NA,"grebux","grebux",-33.045,150.68326,NA,NA,"Proteaceae","old",3,"152","Yengo_S","NSW_Yengo_S",140623,NA,"0.07710","0.06204","0.07872","0.14732","0.08150",NA,NA,NA,1.842,NA,NA,2,9.2,0.967184445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.14732","0.04412",NA,NA,"44.67825143",-0.36518,44.67825143,NA
