batch_number,extraction_number,sample_number,Extraction_repeated,Tech_rep_lost,species_field,species_confirmed,Latitude,Longitude,Elevation_GPS_notebook,Elevation_map,family,leaf_age,biological_rep,GoPro file,site,site_revised,date,whole_leaf_FW,tech_rep_1_FW,tech_rep_2_FW,tech_rep_3_FW,tech_rep_4_FW_fixed,tech_rep_4_DW_fixed,whole_leaf_area(cm2),whole_leaf_area_per_whole_leaf_FW(cm2/g),tech_rep_1_leaf_area,tech_rep_2_leaf_area,tech_rep_3_leaf_area,tech_rep_4_leaf_area,technical_rep_used_for_ovalbumin_calculation,ovalbumin_added(5uL_of_0.5mg/mL_per_cm2),random_number,notes 1,notes 2,I don't know why these numbers are here,Solvent Wash Date,Solvent Wash Page Ref,Phenol Extraction Date,Phenol Extraction Page Ref,Resuspension and Alkylation Date,Resuspension and Alkylation Page Ref,Lavapep Date,Lavapep Page Ref,Lavapep File Name,Extraction Notes,"Protein Extract Concentration (protein assay, ug/uL)",Protein Assay %CV,Protein Extract Volume (uL),"Extract Protein Amount (ug, protein assay)","Protein per FW (mg/g, protein assay)","Protein per DW (mg/g, protein assay)","Protein per Leaf Area (mg/cm2, protein assay)",%Ovalbumin of Total Protein,"Digest Protein Amount (ug)
",Amount Protease in Digest (ug),uL Protein Extract per Digest,Date of ASPEX,ASPEX Batch,tech_rep_4_FW_ERROR,tech_rep_4_DW_ERROR,LMA (g/m2),SLA (cm2/g),LWC (%),leaf_FW_check
24,24-18,KG075,0,,haklae,haklae,-33.6933,151.14541,,,Proteaceae,new,3,56,Kuringai_MT_top,NSW_Kuringai_top,140611,0.79454,0.08652,0.08352,0.08618,0.53500,0.32798,12.995,16.35537544,1.415067083,1.366000957,1.409506255,8.750125859,2,6.8,0.258420159,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53500,0.32798,374.8288942,26.67883974,38.6953271,0.00332
28,28-11,QL358,0,,grestr,grestr,-18.21837,142.27066,,,Proteaceae,new,1,422,Croydon_QLD,QLD_Croydon,150822,0.95924,0.08664,0.09916,0.08740,0.68136,0.41764,12.981,13.5325883,1.17246345,1.341891456,1.182748217,9.220564363,1,5.9,0.615517674,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68136,0.41764,452.9440754,22.07778078,38.70494306,0.00468
26,26-34,RH070,0,,greill,greill,-33.03783,146.20221,,,Proteaceae,mid,2,321,Round_Hill,NSW_Round_Hill,150406,0.48906,0.06584,0.08390,0.09500,0.24160,0.14804,11.365,23.23845745,1.530020038,1.94970658,2.207653458,5.61441132,1,7.7,0.473354323,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24160,0.14964,263.6785792,37.92496163,38.72516556,0.00272
25,25-15,QL364,0,,grestr,grestr,-18.21837,142.27066,,,Proteaceae,old,2,423,Croydon_QLD,QLD_Croydon,150822,1.11172,0.08948,0.06688,0.08228,0.86500,0.52984,15.669,14.09437628,1.26116479,0.942631886,1.15968528,12.19163548,1,6.3,0.316394381,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86500,0.52984,434.593046,23.01003224,38.74682081,0.00808
,,T220,0,,eucten,eucten,-42.38268,147.06002,,,Myrtaceae,sen,1,280,Tasmania_BO,TAS_Bothwell,150308,0.41570,0.08312,0.05790,0.05756,0.21246,0.12996,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21246,0.257,#DIV/0!,0,38.83083875,0.00466
9,9-39,KG102,0,,anghis,angcos,-33.67856,151.14825,,,Myrtaceae,mid,1,85,Kuringai_MT_bottom,NSW_Kuringai_bottom,140612,0.79914,0.06078,0.05856,0.05626,0.61306,0.37468,20.01,25.03941737,1.521895788,1.466308281,1.408717621,15.35066522,2,7.3,0.40212126,,,,2/11/2015,"Katy 1, p.98",5/11/2015,"Katy 1, p.100",6/11/2015,"Katy 1, p.101",17/11/2015,"Katy 1, p.107",,,2.6,4.917185149,750,1915.450637,32.70919803,,1.306308271,,50,1,19.6,23/05/2016,11,0.61306,0.37468,244.0806276,40.97006837,38.88363292,0.01048
24,24-14,RH071,0,,greill,greill,-33.03783,146.20221,,,Proteaceae,old,2,321,Round_Hill,NSW_Round_Hill,150406,0.53378,0.08692,0.07090,0.05266,0.31796,0.19426,11.878,22.25261344,1.93419716,1.577710293,1.171822624,7.075440968,1,9.7,0.248439951,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31796,0.14804,274.5553258,36.42253149,38.90426469,0.00534
29,29-06,RH069,0,,greill,greill,-33.03783,146.20221,,,Proteaceae,new,2,321,Round_Hill,NSW_Round_Hill,150406,0.42286,0.05944,0.05730,0.05948,0.24494,0.14964,9.021,21.3333018,1.268051459,1.222398193,1.268904791,5.225378943,1,6.3,0.732362177,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24494,0.1044,286.3715754,34.91966682,38.90748755,0.00170
7,DP020,T245,0,,eucrub,eucrub,-42.38268,147.06002,,,Myrtaceae,new,3,284,Tasmania_BO,TAS_Bothwell,150309,0.24488,0.05926,0.05824,0.05348,0.06800,0.04152,5.626,22.97451813,1.361469944,1.338035936,1.22867723,1.562267233,1,6.8,0.056373562,,,,14/09/2015,"Siobhan 1, p.92",15/09/2015,"Siobhan 1, p.93",13/10/2015,"Siobhan 1, p.103",16/11/2015,"Katy 1, p.106",,,9.6,1.793020237,750,7184.424557,121.235649,,5.276961556,,50,1,5.2,16/05/2016,2,0.06800,0.21252,265.7675916,37.62686014,38.94117647,0.00590
13,13-29,RH104,0,,euc?,eucgil,-31.0831,141.71401,,,Myrtaceae,old,3,none?,Round_Hill,NSW_Fowlers_Gap,150409,0.48642,0.07304,0.07046,0.07196,0.26774,0.16346,7.093,14.58204844,1.065072818,1.027451133,1.049324205,3.904197648,1,5.3,0.963216465,,,,,,,,,,,,,,3.2,3.627796859,750,2432.937218,,,,,50,1,15.4,31/05/2016,12,0.26774,0.27172,418.6775741,23.88472806,38.94823336,0.00322
25,25-07,KG062,0,,haklae,haklae,-33.6933,151.14541,,,Proteaceae,mid,2,54,Kuringai_MT_top,NSW_Kuringai_top,140604,1.81800,0.06740,0.06776,0.07974,1.59160,0.97148,31.287,17.20957096,1.159925083,1.166120528,1.372291188,27.39075314,2,5.8,0.303697304,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59160,0.97148,354.6744389,28.19487085,38.96205077,0.01150
26,26-26,QL360,0,,grestr,grestr,-18.21837,142.27066,,,Proteaceae,old,1,422,Croydon_QLD,QLD_Croydon,150822,1.29970,0.07758,0.07166,0.07286,1.07440,0.65576,20.322,15.63591598,1.213034362,1.120469739,1.139232838,16.79922813,1,6.1,0.445984522,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07440,0.65576,390.3512679,25.61795189,38.96500372,0.00320
,,QL386,0,,cor?,corpoc,-18.18903,142.26241,,,Myrtaceae,sen,2,436,Croydon_QLD,QLD_Croydon,150823,1.11308,0.07414,0.06938,0.08412,0.88020,0.53702,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88020,0.53702,#DIV/0!,0,38.98886617,0.00524
,,YG028,0,,melpal,melpal,-32.78244,150.92318,,,Myrtaceae,sen,1,don't use this species,Yengo_N,NSW_Yengo_N,140420,,0.08200,0.09800,0.04400,0.04700,0.02866,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,,Do not process.,,,,,,,,,,,,,,,,,,,,,,,,,0.04700,0.53502,#DIV/0!,#DIV/0!,39.0212766,-0.27100
26,26-38,RH074,0,,greill,greill,-33.03783,146.20221,,,Proteaceae,old,3,322,Round_Hill,NSW_Round_Hill,150406,0.37610,0.07346,0.04712,0.06298,0.19034,0.11600,8.871,23.58681202,1.732687211,1.111410582,1.485497421,4.4895138,1,8.7,0.478763751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19034,0.35476,258.3798718,38.70270517,39.05642534,0.00220
23,23-04,RH068,0,,greill,greill,-33.03783,146.20221,,,Proteaceae,old,1,320,Round_Hill,NSW_Round_Hill,150406,0.36338,0.06568,0.05460,0.06732,0.17144,0.10440,9.126,25.11420551,1.649501018,1.371235621,1.690688315,4.305579393,1,8.2,0.097461622,,,,9/08/2016,"Katy 1, p. 190",,,,,,,,,,,,,,,,,,,,,,0.17144,0.28038,242.4760769,41.24118193,39.10405973,0.00434
28,28-17,RH030,0,,haktep,haktep,-32.96381,146.16138,,,Proteaceae,old,3,307,Round_Hill,NSW_Round_Hill,150405,0.40680,0.05880,0.08082,0.06220,0.20486,0.12468,4.464,10.97345133,0.645238938,0.886874336,0.682548673,2.248021239,1,3.2,0.637242214,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20486,0.1071,554.6210945,18.03032755,39.13892414,0.00012
,,T077,0,,banmar,banmar,-42.88986,147.23655,937,986,Proteaceae,sen,2,217,Tasmania_SP,TAS_Mt_Wellington,150302,0.33682,0.06580,0.06552,0.05634,0.14862,0.09032,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14862,0.0528,#DIV/0!,0,39.22756022,0.00054
20,20-48,T260,0,,acadea,acadea,-42.38633,147.05022,,,Fabaceae,mid,3,291,Tasmania_BO,TAS_Bothwell,150309,0.48030,0.06382,0.07604,0.07362,0.26384,0.16032,27.3,56.83947533,3.627495315,4.322073704,4.184522174,14.99652717,1,18.1,0.873885079,,,,,,,,,,,,,,4.9,5.160038633,750,3699.648774,,,,,50,1,10.1,,,0.26384,0.16318,106.9047508,93.54121239,39.23590055,0.00298
10,10-17,KG101,0,,anghis,angcos,-33.67856,151.14825,,,Myrtaceae,old,1,85,Kuringai_MT_bottom,NSW_Kuringai_bottom,140612,1.05800,0.05370,0.06244,0.05282,0.86568,0.52494,23.249,21.97448015,1.180029584,1.372086541,1.160692042,19.02286798,2,6.9,0.472700077,,,,7/12/2015,"Katy 1, p.109",8/12/2015,"Katy 1, p.110",13/01/2016,"Katy 1, p.117",19/01/2016,"Katy 1, p.119",,,2.6,3.787553734,750,1981.339312,31.73189161,,1.444033779,,50,1,18.9,17/05/2016,5,0.86568,0.52494,275.9520807,36.23817575,39.36096479,0.02336
32,32-13,RH027,1,1,haktep,haktep,-32.96381,146.16138,,,Proteaceae,old,2,306,Round_Hill,NSW_Round_Hill,150405,0.36270,0.05174,0.07360,0.06674,0.17042,0.10334,4.002,11.03391232,0.570894624,0.812095947,0.736403309,1.880399338,,0.0,0.26874099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17042,0.12596,549.564116,18.196239,39.36157728,0.00020
22,22-23,QL355,0,,grepar,grepar,-18.21837,142.27066,,,Proteaceae,mid,3,420,Croydon_QLD,QLD_Croydon,150822,0.76320,0.07886,0.06604,0.06912,0.54542,0.33072,20.767,27.21042977,2.145814492,1.796976782,1.880784906,14.8411126,1,10.7,0.026605785,,,,,,,,,,,,,,5.5,2.900751526,750,4144.790953,,,,,50,1,9.0,,,0.54542,0.33072,222.8404358,44.87515906,39.36415973,0.00376
19,19-06,QL376,0,,aca?,acashi,-18.21837,142.27066,,,Fabaceae,old,2,426,Croydon_QLD,QLD_Croydon,150822,0.27098,0.07038,0.05896,0.05276,0.08804,0.05332,8.629,31.8436785,2.241158093,1.877503284,1.680072478,2.803517455,1,11.2,0.524542079,,,,,,,,,,,,,,4.5,3.356514084,750,3381.969677,,,,,50,1,11.1,,,0.08804,0.05332,190.1896487,52.57909706,39.43661972,0.00084
,,QL221,0,,euc? (ironbark),eucatr,-18.23223,145.53238,,,Myrtaceae,sen,2,392,Blencoe_Falls_QLD,QLD_Blencoe_Falls,150816,0.34876,0.08704,0.05476,0.05746,0.14558,0.08816,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14558,0.08816,#DIV/0!,0,39.44223108,0.00392
,,QL437,0,,hakcho,hakcho,-19.04745,138.8575,,,Proteaceae,sen,2,none?,Lawn_Hill_QLD,QLD_Lawn_Hill,150825,0.52008,0.06358,0.06264,,0.39182,0.23724,,0,0,0,0,0,1,0.0,,No bead in tech rep 1,No bead in tech rep 1,,,,,,,,,,,,,,,,,,,,,,,,,0.39182,0.23724,#DIV/0!,0,39.45178909,0.00204
,,YG178,0,,grebux,grebux,-33.045,150.68326,,,Proteaceae,sen,2,155,Yengo_S,NSW_Yengo_S,140620,,0.07228,0.05760,0.06220,0.10352,0.06260,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10352,0.03398,#DIV/0!,#DIV/0!,39.52859351,-0.29560
,,QL417,0,,eucpru,eucpru,-19.04745,138.8575,,,Myrtaceae,sen,3,none?,Lawn_Hill_QLD,QLD_Lawn_Hill,150825,2.76592,0.09724,0.09688,,2.55508,1.54502,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55508,1.54502,#DIV/0!,0,39.53144324,0.01672
15,15-41,YG123,0,,angcos,angcos,-32.78244,150.92318,,,Myrtaceae,old,3,122,Yengo_N,NSW_Yengo_N,140608,0.74813,0.08284,0.07376,0.09924,0.48666,0.29414,19.125,25.56373892,2.117700132,1.885581383,2.536945451,12.44084918,2,9.4,0.770059658,sampled across two dates,sampled across two dates,,16/02/2016,"Katy 1, p.133",18/02/2016,"Katy 1, p.134",26/02/2016,"Katy 1, p.136",8/03/2016,"Katy 1, p.143",,,6.0,2.5437096,750,4493.086543,,,,,50,1,8.3,31/05/2016,14,0.48666,0.32932,236.430806,42.29567275,39.55944602,0.00563
17,17-12,QL370,0,,aca?,acashi,-18.21837,142.27066,,,Fabaceae,new,1,425,Croydon_QLD,QLD_Croydon,150822,0.20518,0.05710,0.05974,,0.08652,0.05224,6.676,32.53728434,1.857878936,1.943777366,0,2.815125841,1,9.3,0.230859738,Not enough tissue for Rep 3,Not enough tissue for Rep 3,,,,,,,,,,,,2.8,6.342376775,750,2082.304761,,,,,50,1,18.0,,,0.08652,0.05224,185.568969,53.88832008,39.6208969,0.00182
13,13-41,T223,0,,eucten,eucten,-42.38268,147.06002,,,Myrtaceae,old,2,282,Tasmania_BO,TAS_Bothwell,150308,0.49802,0.05266,0.05920,0.05770,0.32570,0.19630,8.793,17.65591743,0.929760612,1.045230312,1.018746436,5.750532308,1,4.6,0.99945224,,,,,,,,,,,,,,3.3,6.218656012,750,2480.466642,,,,,50,1,15.1,31/05/2016,12,0.32570,0.31884,341.3597029,29.29461186,39.72981271,0.00276
31,31-25,RH073,0,,greill,greill,-33.03783,146.20221,,,Proteaceae,mid,3,322,Round_Hill,NSW_Round_Hill,150406,0.79084,0.08370,0.05506,0.05980,0.58930,0.35476,17.349,21.93743361,1.836163194,1.207875095,1.31185853,12.92772963,1,9.2,0.977046464,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58930,0.15406,274.4178678,36.44077582,39.79976243,0.00298
20,20-24,T259,0,,acadea,acadea,-42.38633,147.05022,,,Fabaceae,new,3,291,Tasmania_BO,TAS_Bothwell,150309,0.50692,0.09462,0.06932,0.06778,0.27112,0.16318,27.752,54.74631105,5.180095952,3.795014282,3.710704963,14.84281985,1,25.9,0.782743421,,,,,,,,,,,,,"Could not measure protein concentration, as it was outside of our standard curve range, repeat with 2 ul of sample and adjust the dilution volumes in the spreadsheet.",10.1,4.694402893,750,7564.100309,,,,,50,1,5.0,,,0.27112,0.0386,109.9386785,90.9597981,39.81262909,0.00408
13,13-18,T337,0,,eucglo,eucglo,-42.12299,148.34204,,,Myrtaceae,old,2,259,Tasmania_FY,TAS_Freycinet,150311,1.21212,0.07044,0.07196,0.05404,0.89292,0.53736,17.434,14.38306438,1.013143055,1.035005313,0.777260799,12.84292585,1,5.1,0.90901549,,The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook),,,,,,,,,,,,2.7,4.714698577,750,2042.970843,,,,,50,1,18.4,31/05/2016,14,0.89292,0.6165,418.40933,23.90004066,39.81991668,0.12276
,,T228,0,,eucten,eucten,-42.38268,147.06002,,,Myrtaceae,sen,3,281,Tasmania_BO,TAS_Bothwell,150308,0.59706,0.06196,0.05344,0.06318,0.41550,0.24996,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41550,0.2778,#DIV/0!,0,39.84115523,0.00298
,,T326,0,,eucamy,eucamy,-42.12299,148.34204,,,Myrtaceae,sen,2,255,Tasmania_FY,TAS_Freycinet,150311,0.47776,0.07762,0.07360,0.06252,0.26252,0.15786,9.81,20.53332217,1.593796467,1.511252512,1.283743302,5.390407736,1,8.0,0.949574437,,The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook),,,,,,,,,,,,,,,,,,,,,,,,,0.26252,0.15048,292.8535423,34.14676128,39.86743867,0.00150
10,10-06,KG133,0,,anghis,angcos,-33.67856,151.14825,,,Myrtaceae,old,3,80,Kuringai_MT_bottom,NSW_Kuringai_bottom,140617,0.54860,0.08562,0.06154,0.05812,0.33608,0.20204,20.38,37.14910682,3.180706526,2.286156034,2.159106088,12.48507182,2,11.4,0.42628888,,,,7/12/2015,"Katy 1, p.109",8/12/2015,"Katy 1, p.110",13/01/2016,"Katy 1, p.117",19/01/2016,"Katy 1, p.119",,,2.4,3.238741127,750,1810.733379,29.42368181,,0.792042779,,50,1,20.7,17/05/2016,4,0.33608,0.20204,161.8252605,61.79504959,39.8833611,0.00724
16,16-32,T257,0,,acadea,acadea,-42.38633,147.05022,,,Fabaceae,mid,2,290,Tasmania_BO,TAS_Bothwell,150309,0.64600,0.07562,0.08476,0.08586,0.39582,0.23788,35.423,54.83436533,4.146574706,4.647760805,4.708078607,21.70453848,1,20.7,0.122662076,,,,,,,,,,,,,,2.8,5.656126333,750,2078.853361,,,,,50,1,18.0,,,0.39582,0.12454,109.5991975,91.24154398,39.90197565,0.00394
26,26-33,QL288,0,,xylsco,xylsco,-18.29731,145.48898,,,Proteaceae,old,3,409,Princess_Hill_QLD,QLD_Princess_Hill,150819,1.02708,0.08458,0.08336,0.05772,0.79498,0.47706,21.036,20.48136465,1.732313822,1.707326557,1.182184367,16.28227527,1,8.7,0.465975109,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79498,0.47706,292.9934498,34.13045585,39.99094317,0.00644
13,13-27,RH125,0,,euccam,euccam,-31.29462,142.25054,,,Myrtaceae,old,3,none?,Round_Hill,NSW_Mutawintji,150410,0.46636,0.07482,0.07980,0.07028,0.23684,0.14206,8.969,19.23192384,1.438932541,1.534707522,1.351619607,4.554888841,1,7.2,0.960795382,,,,,,,,,,,,,,4.5,2.533768459,750,3369.409317,,,,,50,1,11.1,31/05/2016,12,0.23684,0.4452,311.8846693,32.06313418,40.01857794,0.00462
,,QL385,0,,cor?,corpoc,-18.18903,142.26241,,,Myrtaceae,sen,1,435,Croydon_QLD,QLD_Croydon,150823,0.93780,0.07466,0.09088,0.07196,0.69530,0.41700,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69530,0.417,#DIV/0!,0,40.02588811,0.00500
22,22-28,QL346,0,,grepar,grepar,-18.21837,142.27066,,,Proteaceae,new,1,419,Croydon_QLD,QLD_Croydon,150822,0.58990,0.05848,0.08178,0.08522,0.36388,0.21822,14.54,24.64824547,1.441429395,2.015733514,2.100523479,8.96900356,1,7.2,0.037196748,,,,,,,,,,,,,,3.3,6.686634992,750,2445.736907,,,,,50,1,15.3,,,0.36388,0.21822,243.3046197,41.10074035,40.02968011,0.00054
18,18-48,QL371,0,,aca?,acashi,-18.21837,142.27066,,,Fabaceae,mid,1,425,Croydon_QLD,QLD_Croydon,150822,0.41888,0.08284,0.05614,0.07050,0.20818,0.12474,13.186,31.47918258,2.607735485,1.76724131,2.219282372,6.55333623,1,13.0,0.508179913,,,,,,,,,,,,,,5.7,7.349609773,750,4293.946771,,,,,50,1,8.7,,,0.20818,0.12474,190.3457958,52.53596465,40.08069939,0.00122
19,19-02,T256,0,,acadea,acadea,-42.38633,147.05022,,,Fabaceae,new,2,290,Tasmania_BO,TAS_Bothwell,150309,0.45920,0.08100,0.07718,0.06792,0.20792,0.12454,21.776,47.42160279,3.841149826,3.659999303,3.220875261,9.859899652,1,19.2,0.515191661,,,,,,,,,,,,,,6.8,8.464941913,750,5065.017583,,,,,50,1,7.4,,,0.20792,0.0988,126.3096019,79.17054482,40.10196229,0.02518
27,27-19,KG074,0,,haklae,haklae,-33.6933,151.14541,,,Proteaceae,mid,3,56,Kuringai_MT_top,NSW_Kuringai_top,140611,1.18684,0.07810,0.06424,0.06346,0.97222,0.58230,19.199,16.17656971,1.263390095,1.039182838,1.026565114,15.72718461,2,5.2,0.542534509,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97222,0.5823,370.2506294,27.00873194,40.10614881,0.00882
27,27-06,RH081,0,,hakleu,hakleu,-30.81876,141.7987,,,Proteaceae,new,3,none,Round_Hill,NSW_Fowlers_Gap,150409,0.73980,0.06716,0.07668,0.06420,0.53088,0.31742,4.283,5.789402541,0.388816275,0.443931387,0.371679643,3.073478021,1,1.9,0.50496732,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53088,0.23936,1032.771335,9.682685467,40.20871007,0.00088
7,DP006,T243,0,,eucrub,eucrub,-42.38268,147.06002,,,Myrtaceae,old,1,283,Tasmania_BO,TAS_Bothwell,150309,0.28872,0.07000,0.06034,0.04690,0.10584,0.06328,5.611,19.43405375,1.360383763,1.172650804,0.911457121,2.056900249,1,6.8,0.03213412,,,,14/09/2015,"Siobhan 1, p.92",15/09/2015,"Siobhan 1, p.93",13/10/2015,"Siobhan 1, p.103",16/11/2015,"Katy 1, p.106",,,3.9,1.307094079,750,2951.081397,42.15830567,,2.169300662,,50,1,12.7,16/05/2016,3,0.10584,0.21868,307.6473933,32.50474478,40.21164021,0.00564
25,25-36,RH078,0,,hakleu,hakleu,-30.81876,141.7987,,,Proteaceae,new,2,none,Round_Hill,NSW_Fowlers_Gap,150409,0.65094,0.07844,0.06720,0.07962,0.42486,0.25374,4.094,6.289366147,0.493337881,0.422645405,0.500759333,2.672100101,1,2.5,0.360781333,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42486,0.37232,949.5901739,10.53085876,40.27679706,0.00082
12,12-15,T333,0,,eucglo,eucglo,-42.12299,148.34204,,,Myrtaceae,old,1,258,Tasmania_FY,TAS_Freycinet,150311,1.87840,0.08792,0.07152,0.08242,1.47048,0.87786,26.605,14.16364991,1.245268101,1.012984242,1.167368026,20.82736393,1,6.2,0.770219889,,The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook),,4/01/2016,"Katy 1, p.113",6/01/2016,"Katy 1, p.115",14/01/2016,"Katy 1, p.118",20/01/2016,"Katy 1, p.121",,,2.2,9.019039927,750,1673.738616,19.03706342,,1.34407893,,50,1,22.4,17/05/2016,5,1.47048,0.36958,421.4935712,23.72515427,40.30112616,0.16606
15,15-38,YG125,0,,angcos,angcos,-32.78244,150.92318,,,Myrtaceae,new,3,122,Yengo_N,NSW_Yengo_N,140608,0.61676,0.07180,0.05906,0.06964,0.41164,0.24570,13.641,22.11719307,1.588014463,1.306241423,1.540241326,9.104321357,2,6.5,0.621445391,sampled across two dates,sampled across two dates,,16/02/2016,"Katy 1, p.133",18/02/2016,"Katy 1, p.134",26/02/2016,"Katy 1, p.136",8/03/2016,"Katy 1, p.143",,,6.2,1.963513985,750,4671.940715,,,,,50,1,8.0,31/05/2016,14,0.41164,0.41934,269.8718448,37.05462498,40.31192304,0.00462
22,22-35,RH026,0,,haktep,haktep,-32.96381,146.16138,,,Proteaceae,mid,2,306,Round_Hill,NSW_Round_Hill,150405,0.42126,0.06296,0.07404,0.07300,0.21112,0.12596,4.012,9.523809524,0.599619048,0.705142857,0.695238095,2.010666667,1,3.0,0.057364033,,,,,,,,,,,,,,4.0,6.106336883,750,3018.812828,,,,,50,1,12.4,,,0.21112,0.11426,626.4588859,15.96273949,40.33724896,0.00014
28,28-42,QL348,0,,grepar,grepar,-18.21837,142.27066,,,Proteaceae,old,1,419,Croydon_QLD,QLD_Croydon,150822,0.26182,0.06832,0.05434,0.05326,0.08228,0.04908,6.373,24.34115041,1.662987396,1.322698113,1.296409671,2.002789856,1,8.3,0.700222635,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08228,0.04908,245.0581616,40.80663928,40.35002431,0.00362
10,10-37,T218,0,,eucten,eucten,-42.38268,147.06002,,,Myrtaceae,mid,1,280,Tasmania_BO,TAS_Bothwell,150308,0.62010,0.06952,0.05798,0.07408,0.41416,0.24698,10.842,17.48427673,1.215506918,1.013738365,1.29523522,7.24128805,1,6.1,0.532572741,,,,7/12/2015,"Katy 1, p.109",8/12/2015,"Katy 1, p.110",13/01/2016,"Katy 1, p.117",19/01/2016,"Katy 1, p.119",,,3.9,4.021306896,750,2946.044898,42.37694043,,2.423717096,,50,1,12.7,17/05/2016,4,0.41416,0.22422,341.0719174,29.3193297,40.36604211,0.00436
22,22-46,QL178,0,,banpla,banaqu,-17.92181,146.01045,,,Proteaceae,old,2,383,Mission_Beach_QLD,QLD_Mt_Mackay,150812,1.26870,0.07462,0.05812,0.05848,1.07206,0.63920,23.344,18.39993694,1.373003295,1.069404335,1.076028312,19.7258364,1,6.9,0.088301073,,,,,,,,,,,,,,4.5,10.74830557,750,3381.528174,,,,,50,1,11.1,,,1.07206,0.6392,324.0420264,30.86019462,40.37647147,0.00542
25,25-04,QL440,0,,hakcho,hakcho,-19.04745,138.8575,,,Proteaceae,old,3,none?,Lawn_Hill_QLD,QLD_Lawn_Hill,150825,1.67086,0.08210,0.05856,0.10498,1.41864,0.84508,8.693,5.202709982,0.427142489,0.304670697,0.546180494,7.380772488,1,2.1,0.298030195,No bead in tech rep 1,No bead in tech rep 1,,,,,,,,,,,,,,,,,,,,,,,,,1.41864,0.84508,1144.975003,8.733815128,40.43027125,0.00658
27,27-34,QL168,0,,banpla,banaqu,-17.92181,146.01045,,,Proteaceae,old,1,382,Mission_Beach_QLD,QLD_Mt_Mackay,150812,0.58048,0.08668,0.07234,0.09120,0.32614,0.19424,11.32,19.50110254,1.690355568,1.410709757,1.778500551,6.360089581,1,8.5,0.568108794,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32614,0.19424,305.4045034,32.74345954,40.44275465,0.00412
,,QL441,0,,hakcho,hakcho,-19.04745,138.8575,,,Proteaceae,sen,3,none?,Lawn_Hill_QLD,QLD_Lawn_Hill,150825,2.30142,0.08050,0.06898,,2.14408,1.27544,,0,0,0,0,0,1,0.0,,No bead in tech rep 1,No bead in tech rep 1,,,,,,,,,,,,,,,,,,,,,,,,,2.14408,1.27544,#DIV/0!,0,40.51341368,0.00786
,,YG083,0,,eucfib,euccre,-32.78244,150.92318,,,Myrtaceae,sen,3,115,Yengo_N,NSW_Yengo_N,140525,0.22044,0.05510,0.04622,0.03474,0.07980,0.04744,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07980,0.8583,#DIV/0!,0,40.55137845,0.00458
18,18-03,T253,0,,acadea,acadea,-42.38633,147.05022,,,Fabaceae,new,1,289,Tasmania_BO,TAS_Bothwell,150309,1.01970,0.06708,0.05264,0.06700,0.76508,0.45474,57.054,55.95175051,3.753243425,2.945300147,3.748767284,42.80756528,1,18.8,0.369332557,,,,,,,,,,,,,,7.1,6.049091839,750,5306.424489,,,,,50,1,7.1,,,0.76508,0.27626,106.2288866,94.13635327,40.56307837,0.06790
